,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,albany,42.6001,-73.9662,36.05,44,59,4.0,US,1675362347
1,roald,62.5833,6.1333,36.75,64,0,13.8,NO,1675362386
2,sayyan,15.1718,44.3244,59.52,53,2,1.23,YE,1675362387
3,morant bay,17.8815,-76.4093,88.72,70,47,10.8,JM,1675362388
4,punta arenas,-53.15,-70.9167,68.11,37,0,27.63,CL,1675362349
5,kapaa,22.0752,-159.319,71.58,95,25,8.46,US,1675362389
6,saint-augustin,51.226,-58.6502,4.32,82,86,3.74,CA,1675362390
7,ribeira grande,38.5167,-28.7,61.2,77,20,16.11,PT,1675362390
8,sitka,57.0531,-135.33,39.09,81,100,0.0,US,1675362391
9,east london,-33.0153,27.9116,74.34,78,75,9.22,ZA,1675362391
10,ushuaia,-54.8,-68.3,69.46,40,40,13.8,AR,1675362392
11,bluff,-46.6,168.3333,61.45,97,97,5.84,NZ,1675362392
12,bad salzungen,50.8167,10.2333,38.21,100,100,3.33,DE,1675362393
13,cherskiy,68.75,161.3,-11.06,99,99,3.94,RU,1675362393
14,korla,41.7597,86.1469,23.56,70,67,4.38,CN,1675362394
15,yellowknife,62.456,-114.3525,-23.28,76,20,10.36,CA,1675362334
16,bredasdorp,-34.5322,20.0403,66.22,66,0,8.37,ZA,1675362394
17,katsuura,35.1333,140.3,43.0,75,100,12.37,JP,1675362395
18,mar del plata,-38.0023,-57.5575,77.09,87,75,17.0,AR,1675362395
19,sandwick,60.0,-1.25,48.02,93,75,31.07,GB,1675362396
20,puerto ayora,-0.7393,-90.3518,85.96,88,43,8.01,EC,1675362396
21,sorong,-0.8833,131.25,79.25,85,100,10.96,ID,1675362397
22,cape town,-33.9258,18.4232,69.35,63,0,17.27,ZA,1675362252
23,rikitea,-23.1203,-134.9692,78.96,73,69,14.25,PF,1675362398
24,zhigalovo,54.8097,105.1578,-1.03,100,100,2.06,RU,1675362400
25,harper,4.375,-7.7169,82.99,74,21,9.51,LR,1675362401
26,sobolevo,54.4299,31.8996,31.33,97,100,7.11,RU,1675362402
27,ilulissat,69.2167,-51.1,6.82,66,75,1.14,GL,1675362403
28,mataura,-46.1927,168.8643,59.68,95,89,1.23,NZ,1675362403
29,kuusamo,65.9667,29.1833,17.64,93,100,6.91,FI,1675362404
30,tuktoyaktuk,69.4541,-133.0374,-32.8,68,100,5.75,CA,1675362405
31,khatanga,71.9667,102.5,-26.63,100,92,2.62,RU,1675362275
32,avarua,-21.2078,-159.775,80.65,89,40,11.5,CK,1675362405
33,jamestown,42.097,-79.2353,34.02,40,0,19.57,US,1675362232
34,gorontalo,0.5412,123.0595,73.67,93,99,3.71,ID,1675362406
35,college,64.8569,-147.8028,10.58,85,100,0.0,US,1675362112
36,bandarbeyla,9.4942,50.8122,75.83,65,5,15.82,SO,1675362407
37,barrow,71.2906,-156.7887,-5.78,84,40,11.5,US,1675362385
38,bengkulu,-3.8004,102.2655,76.08,87,97,6.22,ID,1675362209
39,airai,-8.9266,125.4092,61.45,95,100,3.13,TL,1675362407
40,santa cruz,-17.8,-63.1667,82.45,74,75,12.66,BO,1675362408
41,pontivy,48.0,-3.0,48.78,63,100,5.12,FR,1675362409
42,atuona,-9.8,-139.0333,78.67,80,85,23.09,PF,1675362409
43,iskateley,67.6803,53.1512,10.6,96,46,9.22,RU,1675362410
44,thompson,55.7435,-97.8558,-23.64,62,0,10.36,CA,1675362238
45,port alfred,-33.5906,26.891,70.18,91,51,1.99,ZA,1675362411
46,muroto,33.2833,134.15,45.75,70,85,14.76,JP,1675362164
47,benguela,-12.5763,13.4055,78.75,75,94,7.31,AO,1675362412
48,uyuni,-20.4597,-66.825,66.69,18,5,12.93,BO,1675362412
49,hithadhoo,-0.6,73.0833,82.58,65,55,15.08,MV,1675362412
50,saint george,37.1041,-113.5841,43.43,38,0,4.61,US,1675362403
51,carnarvon,-24.8667,113.6333,82.08,66,29,9.33,AU,1675362413
52,vaini,-21.2,-175.2,78.96,89,75,12.66,TO,1675362413
53,arraial do cabo,-22.9661,-42.0278,91.36,70,75,13.8,BR,1675362414
54,hasaki,35.7333,140.8333,39.22,62,100,11.27,JP,1675362414
55,geraldton,-28.7667,114.6,81.01,36,24,8.05,AU,1675362415
56,georgetown,5.4112,100.3354,78.73,98,20,3.44,MY,1675361664
57,pismo beach,35.1428,-120.6413,63.79,49,100,4.0,US,1675362415
58,bridlington,54.0831,-0.1919,51.89,77,100,22.46,GB,1675362416
59,balikpapan,-1.2675,116.8289,77.99,94,40,4.61,ID,1675362417
60,dhanbad,23.8,86.45,61.59,29,71,4.65,IN,1675362417
61,kidal,18.4411,1.4078,80.67,8,26,9.33,ML,1675362418
62,butaritari,3.0707,172.7902,80.35,78,100,18.66,KI,1675362419
63,xinmin,41.9908,122.8253,17.55,38,100,6.6,CN,1675362420
64,dehloran,32.6941,47.2679,52.92,64,51,4.99,IR,1675362420
65,sao paulo de olivenca,-3.3783,-68.8725,73.94,98,100,0.76,BR,1675362421
66,biak,-0.9131,122.8766,76.19,78,100,4.43,ID,1675362422
67,bubaque,11.2833,-15.8333,77.59,67,80,14.56,GW,1675362423
68,mahebourg,-20.4081,57.7,80.89,83,40,3.44,MU,1675362425
69,hobyo,5.3505,48.5268,76.48,71,96,17.72,SO,1675362425
70,tuatapere,-46.1333,167.6833,62.53,97,99,3.15,NZ,1675362426
71,muros,42.7762,-9.0603,52.14,78,0,4.03,ES,1675362427
72,mount gambier,-37.8333,140.7667,51.35,77,81,15.55,AU,1675362428
73,torbay,47.6666,-52.7314,20.57,65,40,17.27,CA,1675362429
74,kutum,14.2,24.6667,65.86,21,36,9.98,SD,1675362429
75,saint-philippe,-21.3585,55.7679,78.39,87,70,14.92,RE,1675362429
76,cabo san lucas,22.8909,-109.9124,71.62,54,0,4.61,MX,1675362430
77,kedougou,12.5579,-12.1743,99.18,16,0,4.61,SN,1675362431
78,faya,18.3851,42.4509,57.31,74,12,2.3,SA,1675362432
79,bronnoysund,65.4625,12.1997,30.2,93,40,4.61,NO,1675362432
80,hermanus,-34.4187,19.2345,66.79,73,2,5.99,ZA,1675362433
81,sambava,-14.2667,50.1667,77.86,87,5,13.29,MG,1675362433
82,narsaq,60.9167,-46.05,17.82,95,52,4.54,GL,1675362434
83,ginir,7.1333,40.7,64.11,30,70,2.82,ET,1675362434
84,teya,60.3778,92.6267,4.51,98,100,3.76,RU,1675362435
85,codrington,-38.2667,141.9667,51.98,76,100,22.97,AU,1675362436
86,opuwo,-18.0607,13.84,80.15,33,92,7.02,NA,1675362438
87,pisco,-13.7,-76.2167,82.45,61,0,18.41,PE,1675362439
